Code	Scientific Name	Common Name	Description	Genus	Species	Date Disabled
MMU	Macaca Mulatta	Rhesus Macaque
MNE	Macaca Nemestrina	Pig-Tailed Macaque
MRA	Macaca Radiata	Bonnet Macaque
PAN	Papio Cynocephalus Anubis	Olive Baboon
PCY	Papio Cynocephalus	Yellow Baboon
SSC	Saimiri Sciureus	Squirrel Monkey
CAE	Chlorocebus Aethiops	African Green / Vervet
DOG	Canis Familiaris	Domestic Dog
MCY	Macaca Fascicularis	Cynomolgus / Crab-Eating Macaque
MFU	Macaca Fuscata	Japanese Macaque
CTA	Cercopithecus Talapoin	Talapoin Monkey
CMA	Cercopithecus M Albogulari	Sykes' Monkey
CMO	Callicebus Moloch	Dusky Titi Monkey
CAP	Cebus Apella	Brown-Tufted Capuchin
